Video,Vanishing Subject,Subject Addition/Reduction,Incongruity Fusion,Omission Error,Temporal Subject Dysmorphia,Action Inference,Unnatural Physics
Bathroom that has toilet sitting in the bathtub,no,no,no,yes,no,no,no
an image of a person playing on a skateboard,no,no,no,no,no,no,yes
A pair of black scissors on top of a table near a coaster,no,no,no,no,yes,no,no
A group of kids eating some cakes and plates on the table,no,no,no,no,yes,no,no
A small dog sitting at a table with a pile of food in front of him,no,no,no,yes,no,no,no
A traffic sign near a bridge and a gas station sign,no,no,no,no,yes,no,no
Many people on a beach fly their kites,no,no,no,no,yes,no,no
A woman in a towel combs her wet hair,no,no,no,yes,no,no,no
A large clock with a red neon sign above it,no,no,no,yes,no,no,no
Two women are holding Wii controllers and playing a game,no,no,no,no,yes,no,no
A giraffe wanders near a vehicle in an animal park,no,no,no,no,no,yes,no
A zebra is eating grass out side in the yard,no,no,no,yes,no,no,no
A woman wearing slacks and a red long-sleeve sweater bends slightly to pet a sheep standing in a field,no,no,no,no,yes,no,no
The cat fits perfectly in the sink basin,no,no,no,no,no,yes,no
A dog relaxes on the green grass as he holds a yellow frisbee,no,no,no,yes,no,no,no
Dogs comfortably lazing on their colorful rolling bed,no,no,no,no,yes,no,no
A man and woman wearing skis on a ski slope,no,no,no,no,no,no,yes
A man eats a large burger and french fries,no,yes,no,no,no,no,no
A USB hub with multiple electronics plugged in,no,no,no,yes,no,no,no
People at a baseball stadium watching a game,no,no,no,no,yes,no,no
elephants giving people rides down the middle of the road,no,no,no,yes,no,no,no
A handwritten note is attached to a parking meter,no,no,no,yes,no,no,no
an empty bathroom with no mirror and decorated with tan and white tiles,no,no,no,no,no,yes,no
A guy jumping above a ramp with his skateboard,no,no,yes,no,no,no,no
Two tupperware containers full of two different kinds of food,no,yes,no,no,no,no,no
A man running on a grass tennis court to get a ball,yes,no,no,no,no,no,no
A woman surfing on a large wave with a splash,no,no,no,no,no,no,yes
A clock tower is shown on the beach,no,no,no,yes,no,no,no
A woman giving a presentation in a park,no,yes,no,no,no,no,no
Two cows are lying down in a field,no,yes,no,no,no,no,no
A man riding skis down a snow covered ski slope,no,no,yes,no,no,no,no
a person wearing glasses and a tie in a car,no,no,no,no,yes,no,no
A black cat eating from a plate on a street curb,no,no,no,no,no,no,yes
A person and a couple of motor bikes,no,yes,no,no,no,no,no
Two men in solider uniforms run to an outhouse where a chicken sits on a toilet and a polar bear approaches from the other side of the outhouse,no,yes,no,no,no,no,no
A person jumping his or her snowboard in the air,no,no,no,no,no,no,yes
a couple of old buildings that are next to a car,no,no,no,yes,no,no,no
Two animals stand on the beach as a big boat sits in the water,no,no,no,no,no,yes,no
Two people in the distance on a beach with surfboards,no,yes,no,no,no,no,no
A herd of sheep standing next to a dog in a field,no,no,no,yes,no,no,no
There is a cat lying on top of the laptop,no,no,no,no,no,yes,no
Two birthday cakes are setting on a table,no,yes,no,no,no,no,no
Two women are in a kitchen with two ovens,no,no,no,no,yes,no,no
A tennis player after hitting a shot back to the other side of the court,no,no,no,no,no,yes,no
A small car sits parked in front of a scooter,no,no,no,yes,no,no,no
Looking out a train window at the scenery including a mountain,no,no,no,no,yes,no,no
A worker in yellow reflective clothing directing an airplane,yes,no,no,no,no,no,no
Man smoking cigarette and lady holding umbrella walking towards fire hydrant,no,no,no,no,no,yes,no
The woman is dressing the man for an occasion,no,no,no,no,yes,no,no
FOUR SHEEP IN AN ENCLOSURE WITH SNOW AROUND THEM,no,yes,no,no,no,no,no
Zebras grazing on green grass in a zoo enclosure,no,yes,no,no,no,no,no
Young girls on grassy field with animal during competition,yes,no,no,no,no,no,no
various types of vegan donuts for sale in a store,no,no,no,yes,no,no,no
Two young boys playing Wii bowling on a large television screen,no,no,no,yes,no,no,no
Two women and a desk both looking at their cell phones,no,no,no,yes,no,no,no
two very big elephants walking in the wild,no,no,no,no,no,yes,no
Two toilets and a sink in a bathroom,no,no,no,yes,no,no,no
Two street signs and a caution sign are pictured amongst some trees,no,yes,no,no,no,no,no
Two road workers are standing by a red light with a sign,no,no,no,yes,no,no,no
two refrigerators and a deep freezer on the side,no,no,no,yes,no,no,no
Two people standing near each other holding drinks,no,no,no,no,yes,no,no
Two people skiing down a snowy slope surrounded by trees,no,no,no,no,no,no,yes
two people in wet suits walking towards the water,no,no,no,yes,no,no,no
Two people are laying on benches in a garden,no,no,no,no,yes,no,no
Two people are holding sports equipment in the snow,no,no,no,no,yes,no,no
Two peeled carrots next with cut up squash and cut up carrots next to them,no,no,no,yes,no,no,no
Two monks stand under an umbrella on the sidewalk,no,yes,no,no,no,no,no
Two men in kilts pose with a wedding party,no,yes,no,no,no,no,no
Two girls sitting outside of a big office building having a conversation and texting on their phones,no,no,no,no,yes,no,no
Two elephants noses standing side by side in the dirt,no,no,no,yes,no,no,no
Two electrical boxes and signs sit on a street pole,no,no,no,yes,no,no,no
Two donuts are inside of a foiled container,no,yes,no,no,no,no,no
Two dishes of ice cream and baked apples,no,no,no,no,yes,no,no
Two cows are standing in a grassy area,no,no,no,no,no,yes,no
two children play together outside with rackets,no,no,no,no,yes,no,no
Two cakes one bunt style the other well frosted layered cake,no,yes,no,no,no,no,no
Two black cows in a grassy field with mountain in background,no,yes,no,no,no,no,no
two black bears are walking through some bushes and plants,no,yes,no,no,no,no,no
Two birds sit on opposite ends of a park bench,no,no,no,yes,no,no,no
Two beds are made in the hotel room,no,no,no,yes,no,no,no
Two baseball players near a base during a game,no,no,no,no,yes,no,no
Two Asian children stand in front of a sink,no,no,no,no,yes,no,no
train on train track surrounded by many trees,no,no,no,no,no,yes,no
Towels hanging on a rack next to a bathroom sink and bathtub,no,no,no,yes,no,no,no
Toilets sit with the lids closed with toy animals in the background,no,no,no,yes,no,no,no
Three zebras stand in a grassy area in the wilderness,no,yes,no,no,no,no,no
Three people riding horses along the beach,no,no,no,no,yes,no,no
Three men wearing specialty clothing with machines strapped to their backs,no,no,no,no,yes,no,no
