Video,Vanishing Subject,Subject Addition/Reduction,Incongruity Fusion,Omission Error,Temporal Subject Dysmorphia,Action Inference,Unnatural Physics
Bathroom that has toilet sitting in the bathtub,0,0,0,1,0,0,0
an image of a person playing on a skateboard,0,0,0,0,0,0,1
A pair of black scissors on top of a table near a coaster,0,0,0,0,1,0,0
A group of kids eating some cakes and plates on the table,0,0,0,0,1,0,0
A small dog sitting at a table with a pile of food in front of him,0,0,0,1,0,0,0
A traffic sign near a bridge and a gas station sign,0,0,0,0,1,0,0
Many people on a beach fly their kites,0,0,0,0,1,0,0
A woman in a towel combs her wet hair,0,0,0,1,0,0,0
A large clock with a red neon sign above it,0,0,0,1,0,0,0
Two women are holding Wii controllers and playing a game,0,0,0,0,1,0,0
A giraffe wanders near a vehicle in an animal park,0,0,0,0,0,1,0
A zebra is eating grass out side in the yard,0,0,0,1,0,0,0
A woman wearing slacks and a red long-sleeve sweater bends slightly to pet a sheep standing in a field,0,0,0,0,1,0,0
The cat fits perfectly in the sink basin,0,0,0,0,0,1,0
A dog relaxes on the green grass as he holds a yellow frisbee,0,0,0,1,0,0,0
Dogs comfortably lazing on their colorful rolling bed,0,0,0,0,1,0,0
A man and woman wearing skis on a ski slope,0,0,0,0,0,0,1
A man eats a large burger and french fries,0,1,0,0,0,0,0
A USB hub with multiple electronics plugged in,0,0,0,1,0,0,0
People at a baseball stadium watching a game,0,0,0,0,1,0,0
elephants giving people rides down the middle of the road,0,0,0,1,0,0,0
A handwritten note is attached to a parking meter,0,0,0,1,0,0,0
an empty bathroom with no mirror and decorated with tan and white tiles,0,0,0,0,0,1,0
A guy jumping above a ramp with his skateboard,0,0,1,0,0,0,0
Two tupperware containers full of two different kinds of food,0,1,0,0,0,0,0
A man running on a grass tennis court to get a ball,1,0,0,0,0,0,0
A woman surfing on a large wave with a splash,0,0,0,0,0,0,1
A clock tower is shown on the beach,0,0,0,1,0,0,0
A woman giving a presentation in a park,0,1,0,0,0,0,0
Two cows are lying down in a field,0,1,0,0,0,0,0
A man riding skis down a snow covered ski slope,0,0,1,0,0,0,0
a person wearing glasses and a tie in a car,0,0,0,0,1,0,0
A black cat eating from a plate on a street curb,0,0,0,0,0,0,1
A person and a couple of motor bikes,0,1,0,0,0,0,0
Two men in solider uniforms run to an outhouse where a chicken sits on a toilet and a polar bear approaches from the other side of the outhouse,0,1,0,0,0,0,0
A person jumping his or her snowboard in the air,0,0,0,0,0,0,1
a couple of old buildings that are next to a car,0,0,0,1,0,0,0
Two animals stand on the beach as a big boat sits in the water,0,0,0,0,0,1,0
Two people in the distance on a beach with surfboards,0,1,0,0,0,0,0
A herd of sheep standing next to a dog in a field,0,0,0,1,0,0,0
There is a cat lying on top of the laptop,0,0,0,0,0,1,0
Two birthday cakes are setting on a table,0,1,0,0,0,0,0
Two women are in a kitchen with two ovens,0,0,0,0,1,0,0
A tennis player after hitting a shot back to the other side of the court,0,0,0,0,0,1,0
A small car sits parked in front of a scooter,0,0,0,1,0,0,0
Looking out a train window at the scenery including a mountain,0,0,0,0,1,0,0
A worker in yellow reflective clothing directing an airplane,1,0,0,0,0,0,0
Man smoking cigarette and lady holding umbrella walking towards fire hydrant,0,0,0,0,0,1,0
The woman is dressing the man for an occasion,0,0,0,0,1,0,0
FOUR SHEEP IN AN ENCLOSURE WITH SNOW AROUND THEM,0,1,0,0,0,0,0
Zebras grazing on green grass in a zoo enclosure,0,1,0,0,0,0,0
Young girls on grassy field with animal during competition,1,0,0,0,0,0,0
various types of vegan donuts for sale in a store,0,0,0,1,0,0,0
Two young boys playing Wii bowling on a large television screen,0,0,0,1,0,0,0
Two women and a desk both looking at their cell phones,0,0,0,1,0,0,0
two very big elephants walking in the wild,0,0,0,0,0,1,0
Two toilets and a sink in a bathroom,0,0,0,1,0,0,0
Two street signs and a caution sign are pictured amongst some trees,0,1,0,0,0,0,0
Two road workers are standing by a red light with a sign,0,0,0,1,0,0,0
two refrigerators and a deep freezer on the side,0,0,0,1,0,0,0
Two people standing near each other holding drinks,0,0,0,0,1,0,0
Two people skiing down a snowy slope surrounded by trees,0,0,0,0,0,0,1
two people in wet suits walking towards the water,0,0,0,1,0,0,0
Two people are laying on benches in a garden,0,0,0,0,1,0,0
Two people are holding sports equipment in the snow,0,0,0,0,1,0,0
Two peeled carrots next with cut up squash and cut up carrots next to them,0,0,0,1,0,0,0
Two monks stand under an umbrella on the sidewalk,0,1,0,0,0,0,0
Two men in kilts pose with a wedding party,0,1,0,0,0,0,0
Two girls sitting outside of a big office building having a conversation and texting on their phones,0,0,0,0,1,0,0
Two elephants noses standing side by side in the dirt,0,0,0,1,0,0,0
Two electrical boxes and signs sit on a street pole,0,0,0,1,0,0,0
Two donuts are inside of a foiled container,0,1,0,0,0,0,0
Two dishes of ice cream and baked apples,0,0,0,0,1,0,0
Two cows are standing in a grassy area,0,0,0,0,0,1,0
two children play together outside with rackets,0,0,0,0,1,0,0
Two cakes one bunt style the other well frosted layered cake,0,1,0,0,0,0,0
Two black cows in a grassy field with mountain in background,0,1,0,0,0,0,0
two black bears are walking through some bushes and plants,0,1,0,0,0,0,0
Two birds sit on opposite ends of a park bench,0,0,0,1,0,0,0
Two beds are made in the hotel room,0,0,0,1,0,0,0
Two baseball players near a base during a game,0,0,0,0,1,0,0
Two Asian children stand in front of a sink,0,0,0,0,1,0,0
train on train track surrounded by many trees,0,0,0,0,0,1,0
Towels hanging on a rack next to a bathroom sink and bathtub,0,0,0,1,0,0,0
Toilets sit with the lids closed with toy animals in the background,0,0,0,1,0,0,0
Three zebras stand in a grassy area in the wilderness,0,1,0,0,0,0,0
Three people riding horses along the beach,0,0,0,0,1,0,0
Three men wearing specialty clothing with machines strapped to their backs,0,0,0,0,1,0,0
Three men stand around a laptop that is recording them on a web camera,0,0,0,0,1,0,0
Three cats and a teddy bear on a floor,0,1,0,0,0,0,0
Three boats constructed of wood sitting on dry land,0,0,0,1,0,0,0
This meal consists of a sandwich and a cucumber,0,0,0,0,0,1,0
This is a plane on the tarmac with a ladder leading up to the door and people walking around it,0,0,1,0,0,0,0
This is a baseball player missing the ball and getting a strike,0,0,0,1,0,0,0
This cat is laying on top of a blue couch,0,0,1,0,0,0,0
Theyre sitting in sharing a couple of boxes of pizzas,0,0,0,0,1,0,0
There is a two parking signs on a stand outside,0,0,0,1,0,0,0
There is a small herd of sheep on the grassy field,1,0,0,0,0,0,0
There is a sign advertising a flower shop,0,0,0,0,1,0,0
there is a red stop sign in front of houses,0,0,0,1,0,0,0
THERE IS A DESK TOP COMPUTER ON THE DESK,0,0,0,1,0,0,0
there is a blue and black bus stopped at a bus stop,0,0,0,1,0,0,0
There is a bench set in front of a house,0,0,0,1,0,0,0
THERE ARE ZEBRAS EATING IN A FENCE IN ZOO,0,0,0,0,1,0,0
There are many horses standing on a paved street that contains many buildings,0,0,0,1,0,0,0
there are many different busses that are parked next to each other,0,0,0,1,0,0,0
The woman with her hat and backpack is also carrying an umbrella,0,0,0,1,0,0,0
The woman is standing out front of the building with her umbrella up,0,0,0,0,1,0,0
The old toilet is sitting on the sidewalk with newspaper on it,0,0,0,1,0,0,0
The man is using his computer laying on his bed,0,0,0,1,0,0,0
The man in the black wet suit is surfing on a board,0,0,0,0,0,0,1
the fire hydrant is yellow and is next to green plants,0,1,0,0,0,0,0
the boy and the girl sit in the park together,0,0,0,0,1,0,0
Someone snow boarding on their snow board in the snow,0,0,0,0,0,0,1
Someone attempts to feed a baby kitten with a bottle,0,1,0,0,0,0,0
some people messing around with some elephants,1,0,0,0,0,0,0
Some glasses that are on a shelf together,0,0,1,0,0,0,0
some books about berlin next to a laptop,0,0,0,1,0,0,0
Red and green fire hydrant sitting in the forest,0,0,0,1,0,0,0
Polo game with brown horse and rider about to hit the ball,0,1,0,0,0,0,0
Person airborne on a skateboard high over the ground,0,0,0,0,0,0,1
2 cats who are playing outside of a house,0,0,0,1,0,0,0
2 people pose for a picture by a cold mountain,0,0,0,0,1,0,0
2 teddy bears in matching clothing next to each other,0,0,0,1,0,0,0
3 zebras walking down a gravel path in front of a grassy area,0,1,0,0,0,0,0
A advertising bus sitting along side a roadway,0,0,0,0,0,1,0
A airplane on the tarmac next to the ocean,0,0,0,1,0,0,0
A airplane that is sitting in the grass,0,0,0,0,0,1,0
A airplane that is standing on a runway,0,0,0,0,1,0,0
A airport runway with a large plane and cars parked on one side,0,1,0,0,0,0,0
A baby bear standing among some tall grass,0,0,0,0,0,1,0
A baby child is playing Frisbee outside in the sun,0,0,0,0,1,0,0
a baby elephant walking behind a large one,0,0,0,0,0,1,0
A baby elephant walking behind a mother elephant,0,1,0,0,0,0,0
a baby giraffe behind a fence in an indoor enclosure,0,0,0,0,1,0,0
A baby girl holding a white teddy bear walking across a park,0,0,0,1,0,0,0
A baby girl standing in front of a giraffe,0,0,0,0,1,0,0
A baby is being feed fruit from a container,0,0,0,1,0,0,0
A baby is sitting in a white crib holding a toothbrush,0,0,0,0,1,0,0
A baby is smiling with a teddy bear,0,0,0,0,1,0,0
A baby named Ellitott laying in his bed,0,0,0,0,1,0,0
a baby polar bear walking down a fake igloo and into the water,0,0,0,1,0,0,0
A baby pressing a key on a laptop,0,0,0,1,0,0,0
A baby sheep stands with other sheep in clumps of hay,0,0,0,0,1,0,0
A baby sitting chewing on a toothbrush to soothe his gumns,0,0,0,0,1,0,0
a baby under a table eating raw broccoli,0,0,0,1,0,0,0
a back pack on a chair and a person sitting next to it,0,0,0,1,0,0,0
A backpack rests in a chair next to a bed in a motel room,0,0,0,1,0,0,0
A banana and a yellow apple in a woven basket,0,1,0,0,0,0,0
A banana onion and some orange marmalade are shown here,0,0,0,0,0,1,0
A banana sitting on top of bunches of grapes and an orange next to a lime,0,0,0,1,0,0,0
A banana tree has a brown pod on it,0,0,0,0,0,0,1
A barber shop sign is next to a fire hydrant,0,0,0,1,0,0,0
A baseball field that has players standing on it,0,0,0,1,0,0,0
A baseball game is being played with the batter in motion,1,0,0,0,0,0,0
A baseball player at bat at a baseball game,0,0,0,0,1,0,0
A baseball player at bat in a crowded stadium,0,0,0,1,0,0,0
A baseball player at bat is in stance to get ready and hit the ball,1,0,0,0,0,0,0
A baseball player getting ready to throw a pitch,0,0,1,0,0,0,0
A baseball player holding a baseball bat during a game,0,0,0,0,1,0,0
A baseball player is in the middle of his swing as the catcher is ready to catch the ball,0,0,0,1,0,0,0
A baseball player on the field in the motion of throwing the ball,0,0,0,0,0,1,0
2 bowls of fruit sit on a table,0,1,0,0,0,0,0
A tennis player is getting ready for a shot,0,0,1,0,0,0,0
A person sits on a park bench in the rain,1,0,0,0,0,0,0
A piece of cake is on a plate with an American flag stuck in it,0,1,0,0,0,0,0
A skateboarder doing tricks on a wall in a park,0,0,0,0,0,0,1
The man and woman are hugging under an umbrella near the water,0,0,0,0,1,0,0
Multiple police standing on the corner at a city intersection,0,0,0,1,0,0,0
A very cute elephant in a big grassy field,0,0,0,0,1,0,0
A child dunking a basketball on a toy hoop,0,0,0,0,0,0,1
Man talking on personal cell phone on a yellow and black bench,0,0,0,1,0,0,0
A beautiful view of the sun setting at a beach,0,0,0,1,0,0,0
A professional baseball player preparing to swing at a pitch,0,0,0,0,1,0,0
Three pastries on napkins sit on a table,0,1,0,0,0,0,0
Two people on their surfboards in rough water,0,1,0,0,0,0,0
Two toilets sitting next to each other in a bathroom,0,1,0,0,0,0,0
An umbrella is inside of a plastic blue tub,0,0,0,1,0,0,0
A commuter train stops for passengers to board,0,0,0,1,0,0,0
A boy in a red hat playing with tee ball set,0,1,0,0,0,0,0
A motorcycle taxi driver in the middle of a busy street,0,0,1,0,0,0,0
A boy in a bow tie sticks out his tongue,0,0,0,0,1,0,0
Back to back stuffed bears in an old thatch style,0,0,1,0,0,0,0
Banner indicating Olympics above a brick wall in city,0,0,1,0,0,0,0
Baseball player at home plate preparing to bat,0,0,0,0,1,0,0
Baseball player standing in the batters box ready to hit,0,0,1,0,0,0,0
Baskets and a rack filled with bananas at an outdoor market,0,0,0,0,1,0,0
Bathroom scene green patterned wall paper and commode with square seat,0,0,0,1,0,0,0
Bathroom with white tile flooring white rug toilet and printed shower curtain,0,0,0,1,0,0,0
Beautiful brown colors and wood in the backdrop of a cunning little boy,0,0,0,0,1,0,0
Beautiful large surfboards on a rack at the beach,0,0,0,1,0,0,0
Bedroom with a white bed and large open windows,0,0,1,0,0,0,0
Bedroom with red ceiling and pattered red sheets and drapes,0,0,0,1,0,0,0
Beef broccoli bread and vegetables are on a plate,0,0,0,1,0,0,0
Big Ben is next door to an apartment building,0,0,0,1,0,0,0
Big cows and little cows standing and lying on a green field,0,0,1,0,0,0,0
Birds and Ducks gather in and around water,0,0,1,0,0,0,0
black and white cat wearing a red scarf,0,0,1,0,0,0,0
Black and white donuts with sprinkles are stacked on a rack,0,0,1,0,0,0,0
Black and white image of skateboarders on a half-pipe,0,0,0,1,0,0,0
black and white man walking down street with suitcase,0,0,0,0,1,0,0
Black and white metal sign pointing to the enclosure,0,0,0,1,0,0,0
Black and white photo of a long train,0,0,1,0,0,0,0
Black and white photo of bicycle in bed room with sofa in background,0,0,0,0,1,0,0
